,category,sub_category,brand,sale_price,market_price,type,rating
24582,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,750.0,750.0,Gourmet Ice Cream,3.9434095831792573
24583,"Bakery, Cakes & Dairy",Ice Creams & Desserts,Amul,225.0,225.0,Ice Creams,3.7
24584,"Foodgrains, Oil & Masala",Dals & Pulses,Safe Harvest,97.02,99.0,"Toor, Channa & Moong Dal",3.9
24585,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,38.25,45.0,Powdered Spices,4.1
24586,"Kitchen, Garden & Pets",Kitchen Accessories,Anjali,79.0,105.0,Kitchen Tools & Other Accessories,4.0
24587,Beauty & Hygiene,Hair Care,Garnier Men,29.25,39.0,Hair Color,3.9
24588,Beauty & Hygiene,Men's Grooming,Supermax,24.36,28.0,Shaving Care,3.7
24589,Beauty & Hygiene,Fragrances & Deos,HAVOC,570.0,600.0,Men's Deodorants,3.9434095831792573
24590,Gourmet & World Food,Drinks & Beverages,Mlesna,80.0,80.0,Gourmet Tea & Tea Bags,3.9434095831792573
24591,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,18.0,30.0,Powdered Spices,3.9434095831792573
24592,Beauty & Hygiene,Hair Care,Vegetal,715.0,715.0,Hair Color,3.0
24593,Gourmet & World Food,"Sauces, Spreads & Dips",Abbies,265.0,265.0,Thai & Asian Sauces,4.1
24594,Snacks & Branded Foods,Biscuits & Cookies,Dukes,39.0,50.0,Salted Biscuits,4.1
24595,"Bakery, Cakes & Dairy",Cakes & Pastries,BHealthy,299.0,299.0,Pastries & Brownies,2.0
24596,Gourmet & World Food,Drinks & Beverages,Swa Artisanal Syrups,300.0,300.0,Gourmet Juices & Drinks,3.9434095831792573
24597,Gourmet & World Food,Chocolates & Biscuits,Nutro,50.0,50.0,"Cookies, Biscotti, Wafer",3.8
24598,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Chings,20.0,20.0,Chilli & Soya Sauce,4.2
24599,Beauty & Hygiene,Feminine Hygiene,Fem,45.0,45.0,Hair Removal,4.1
24600,Beauty & Hygiene,Health & Medicine,Baidyanath,90.0,90.0,Ayurveda,3.9434095831792573
24601,Gourmet & World Food,Cooking & Baking Needs,Puramate,90.0,100.0,"Baking, Cake Decorations",5.0
24602,Beauty & Hygiene,Makeup,Loreal Paris,308.0,440.0,Eyes,4.0
24603,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,75.0,95.0,"Toor, Channa & Moong Dal",3.9434095831792573
24604,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Fresho Signature,65.0,85.0,Dry Fruits & Berries,3.9434095831792573
24605,"Kitchen, Garden & Pets",Crockery & Cutlery,Pasabahce,679.0,840.0,Glassware,3.3
24606,Cleaning & Household,Detergents & Dishwash,bb Combo,294.05,349.0,"Detergent Powder, Liquid",3.9434095831792573
24607,Gourmet & World Food,"Sauces, Spreads & Dips",Mackays,385.0,385.0,"Jams, Marmalade, Spreads",4.6
